key,prompt,f_save
['description'],"Tyrosia was once a lush and thriving planet, home to a diverse range of flora and fauna. However, a catastrophic ecological disaster brought about by rampant industrialization and reckless exploitation of natural resources led to the planet's destruction. The survivors of this disaster, a group of refugees numbering in the thousands, have crash landed on a nearby planet and are struggling to rebuild their lives.

Technology on Tyrosia was highly advanced, with sophisticated machinery and robotics being used extensively in all aspects of life. However, the refugees are now forced to rely on their own ingenuity and resourcefulness to rebuild their world from scratch. They have access to limited resources salvaged from their crashed ship, and must make do with what they have.

Magic is also a part of life on Tyrosia, with some members of the refugee community possessing innate magical abilities. However, magic is not widely understood or accepted by all, and its use is often shrouded in mystery and superstition.

In terms of culture, the refugees come from a wide range of backgrounds and ethnicities, and their culture is a melting pot of different traditions and customs. They are a resilient and resourceful people, determined to rebuild their world and create a new future for themselves. However, they also face many challenges and obstacles along the way, including hostile wildlife, limited resources, and the ever-present threat of further ecological disasters.",results/Tyrosia/000000.png
['races'],"The Valtorians, a tall and slender race with elongated limbs and a natural affinity for technology. They are skilled engineers and mechanics, and have been instrumental in helping the refugees rebuild their technology.",results/Tyrosia/000001.png
['races'],"The Tzorians, a short and stout race with thick, leathery skin and a natural resistance to extreme heat and cold. They are skilled miners and blacksmiths, and have helped the refugees extract and process the planet's natural resources.",results/Tyrosia/000002.png
['races'],"The Xyphons, a race of amphibious humanoids with webbed fingers and toes. They have a natural affinity for water and have helped the refugees develop irrigation systems and water purification technology.",results/Tyrosia/000003.png
['races'],"The Krynn, a race of nomadic hunters and gatherers with keen senses and unmatched tracking skills. They have been valuable allies in the search for food and resources.",results/Tyrosia/000004.png
['races'],"The Zorans, a race of shapeshifters with the ability to assume any form they choose. They are highly skilled at espionage and have helped the refugees gather intelligence on potential threats.",results/Tyrosia/000005.png
['races'],"The Nalorians, a race of telepaths with the ability to communicate with others through thought alone. They have been invaluable in coordinating the efforts of the refugee community and ensuring that everyone is on the same page.",results/Tyrosia/000006.png
['creatures'],"The Thornback, a large, heavily-armored quadruped with razor-sharp quills covering its back. It is a fierce predator that preys on smaller animals and has been known to attack unwary travelers.",results/Tyrosia/000007.png
['creatures'],"The Shadowflyer, a small, bat-like creature with leathery wings and a venomous bite. It is a nocturnal hunter that feeds on insects and small rodents.",results/Tyrosia/000008.png
['creatures'],"The Crystalweaver, a spider-like creature with a body made entirely of crystalline structures. It is a passive creature that spins intricate webs to catch insects and other small creatures.",results/Tyrosia/000009.png
['creatures'],"The Thunderhorn, a massive, horned mammal with lightning-like markings on its fur. It is a herbivore that feeds on tough vegetation, but can be dangerous if provoked.",results/Tyrosia/000010.png
['creatures'],"The Deepcrawler, a giant, worm-like creature that burrows deep underground. It is a scavenger that feeds on decaying matter and has been known to attack miners and other underground workers.",results/Tyrosia/000011.png
['creatures'],"The Skywhale, a massive, flying creature with a serpentine body and numerous tentacles. It is a peaceful creature that feeds on airborne plankton and poses no threat to the inhabitants of Tyrosia.",results/Tyrosia/000012.png
['landmarks'],"The Shattered Spire, a ruined tower that was once a center of magical power for an ancient civilization. The tower was destroyed in a magical cataclysm, and its ruins are now a dangerous place, haunted by malevolent spirits and magical anomalies. The refugees avoid the area whenever possible, but some brave adventurers seek out the ruins in search of lost magical artifacts.",results/Tyrosia/000013.png
['landmarks'],"The Singing Caverns, a network of underground caverns filled with strange, glowing fungi that emit a melodic hum. The Xyphons consider the caverns to be sacred, and perform ritual ceremonies there to honor their water goddess. The refugees have also discovered that the fungi have medicinal properties, and have begun to harvest them for use in their own healing practices.",results/Tyrosia/000014.png
['landmarks'],"The Iron Wastes, a barren and desolate wasteland that was once home to a highly advanced civilization of robots and machines. The Valtorians are fascinated by the ruins of this civilization, and have spent countless hours studying and salvaging their technology. The Tzorians, on the other hand, consider the area to be cursed and avoid it at all costs.",results/Tyrosia/000015.png
['landmarks'],"The Whispering Forest, a dense forest filled with ancient trees that seem to whisper secrets to those who listen closely. The Krynn consider the forest to be a sacred place, and conduct their most important rituals there. The refugees have also discovered that the forest contains a wealth of natural resources, including rare and valuable woods.",results/Tyrosia/000016.png
['landmarks'],"The Glass Sea, a vast desert of shimmering, crystalline sands that stretch as far as the eye can see. The Zorans believe that the Glass Sea is home to powerful spirits that can grant wishes to those who appease them. The refugees have also discovered that the sands of the Glass Sea contain rare and valuable minerals, and have established mining operations in the area.",results/Tyrosia/000017.png
